6/16/2018|154.52|03:46:37|2215|0|287|3500|217|76%|0|0|40.9|78.5|92|127|0|0|257|965|2,718|24|03:46:58|Sigma Rox 11.0|https://www.strava.com/activities/1647120636
6/15/2018|174.16|04:01:16|1958|0|282|3409|221|74%|0|0|43.3|97.6|93|135|0|0|236|1058|7,604|21|04:02:00|Sigma Rox 11.0|https://www.strava.com/activities/1640086327
6/14/2018|152.59|03:35:42|1577|0|250|2844|156|66%|0|0|42.4|81.7|93|127|0|0|220|999|2,262|20|03:36:06|Sigma Rox 11.0|https://www.strava.com/activities/1638026690
6/13/2018|158.3|03:31:31|683|0|165|1671|66|43%|0|0|44.9|79.6|93|130|0|0|132|989|2,042|22|03:32:21|Sigma Rox 11.0|https://www.strava.com/activities/1636153297
6/8/2018|148.22|04:50:02|2081|0|0|0|0||115|1998|30.7|61.9|0|0|0|0|0|0|2,662|27|05:03:02|Sigma Rox 11.0|https://www.strava.com/activities/1625691823
6/7/2018|91.92|02:53:54|1176|0|236|1956|115|62%|0|0|31.7|56.5|84|112|0|0|187|751|1,487|19|02:59:33|Sigma Rox 11.0|https://www.strava.com/activities/1625690886
6/3/2018|36.32|00:40:56|75|0|304|753|47|80%|0|0|53.2|67.7|102|125|0|0|307|926|840|25|00:48:05|Sigma Rox 11.0|https://www.strava.com/activities/1619622484
6/2/2018|94.02|01:54:06|167|0|280|1833|103|74%|0|0|49.4|65.5|98|130|0|0|268|1035|2,044|19|01:54:06|Sigma Rox 11.0|https://www.strava.com/activities/1612939713
6/1/2018|73.49|01:57:57|301|0|335|2125|152|88%|0|0|37.4|86|91|128|0|0|300|1029|2,370|13|01:57:57|Sigma Rox 11.0|https://www.strava.com/activities/1610674068
7/31/2018|54.99|01:54:34|517|0|88|513|10|23%|0|0|28.8|68.8|78|114|0|0|75|297|773|32|02:00:18|Sigma Rox 12.0|https://www.strava.com/activities/1741968874
7/29/2018|171.12|05:39:22|2192|0|225|4109|210|59%|0|0|30.3|66.6|78|111|0|0|202|718|2,785|30|06:12:50|Sigma Rox 12.0|https://www.strava.com/activities/1736451944
7/27/2018|89.87|02:52:03|1050|0|144|1100|42|38%|0|0|31.3|70.2|81|117|0|0|107|615|1,440|33|02:58:28|Sigma Rox 12.0|https://www.strava.com/activities/1731978398
7/24/2018|123.92|03:45:33|1761|0|226|2731|135|59%|0|0|33|78.1|80|114|0|0|202|865|1,772|26|03:52:10|Sigma Rox 12.0|https://www.strava.com/activities/1729785189
7/23/2018|154.5|04:31:41|776|0|198|2605|134|52%|0|0|34.1|67.3|80|181|0|0|160|944|1,930|27|05:16:58|Sigma Rox 12.0|https://www.strava.com/activities/1729785367
7/22/2018|27.21|00:58:43|79|0|121|406|10|32%|0|0|27.8|41.4|70|88|0|0|115|504|310|27|02:25:28|Sigma Rox 12.0|https://www.strava.com/activities/1729784301
7/21/2018|132.26|03:01:25|308|0|0|0|0||364|3959|43.7|64.1|0|0|0|0|0|0|2,335|25|03:02:51|Sigma Rox 11.0|https://www.strava.com/activities/1719315602
7/21/2018|38.85|01:23:53|112|0|148|596|22|39%|0|0|27.8|40.3|74|95|0|0|119|599|204|29|02:29:00|Sigma Rox 11.0|https://www.strava.com/activities/1719314277
7/20/2018|178.68|05:31:18|2553|0|217|3629|185|57%|0|0|32.4|74.9|79|124|0|0|183|754|2,496|26|06:27:33|Sigma Rox 11.0|https://www.strava.com/activities/1715596758
7/19/2018|54.36|01:09:37|6|0|294|1151|68|77%|0|0|46.9|59|95|122|0|0|275|969|828|26|01:09:37|Sigma Rox 11.0|https://www.strava.com/activities/1715591165
7/19/2018|125.5|04:05:24|1772|0|0|0|0||0|0|30.7|71.6|76|172|0|0|0|0|1,944|25|04:23:20|Sigma Rox 11.0|https://www.strava.com/activities/1715572813
7/28/2018|82.09|02:39:08|1448|0|235|1854|108|62%|0|0|31|69.8|77|110|0|0|194|680|1,339|29|02:57:40|Sigma Rox 12.0|https://www.strava.com/activities/1734124872
8/31/2018|184.57|04:20:46|2071|0|252|3323|190|66%|0|0|42.5|122|90|150|0|0|212|986|2,249|36|04:21:04|Sigma Rox 12.0|https://www.strava.com/activities/1812500364
8/30/2018|149.71|04:00:27|1668|0|235|2642|153|62%|0|0|37.4|90.4|85|136|0|0|183|926|1,908|33|04:00:57|Sigma Rox 12.0|https://www.strava.com/activities/1812500309
8/29/2018|187.51|04:39:27|3639|0|274|4079|242|72%|0|0|40.3|91.1|89|142|0|0|243|951|2,782|33|04:40:28|Sigma Rox 12.0|https://www.strava.com/activities/1812500443
