iter	Passed	Remaining
0	6	627
1	11	583
2	17	575
3	23	564
4	29	562
5	35	554
6	42	561
7	48	559
8	57	579
9	65	589
10	72	584
11	77	566
12	83	556
13	90	555
14	96	544
15	102	536
16	108	530
17	116	528
18	121	519
19	127	508
20	134	507
21	140	499
22	146	489
23	157	497
24	163	490
25	169	482
26	175	474
27	180	465
28	189	463
29	195	455
30	201	447
31	208	442
32	223	454
33	234	455
34	261	485
35	287	511
36	304	518
37	315	514
38	327	512
39	339	508
40	346	499
41	357	493
42	373	495
43	384	488
44	394	482
45	406	477
46	414	467
47	439	475
48	462	481
49	473	473
50	491	472
51	500	462
52	510	452
53	517	440
54	524	429
55	531	417
56	538	405
57	545	394
58	553	384
59	561	374
60	573	366
61	579	355
62	585	343
63	591	332
64	599	322
65	608	313
66	615	303
67	622	292
68	627	282
69	635	272
70	645	263
71	652	253
72	659	243
73	665	233
74	672	224
75	680	214
76	690	206
77	699	197
78	705	187
79	713	178
80	722	169
81	730	160
82	738	151
83	747	142
84	754	133
85	761	123
86	768	114
87	775	105
88	781	96
89	795	88
90	812	80
91	821	71
92	840	63
93	849	54
94	856	45
95	864	36
96	872	26
97	883	18
98	895	9
99	905	0
