iter	R2	RMSE
0	-5.130900096	0.2433309506
1	-4.592259419	0.232396128
2	-4.104275438	0.2220252072
3	-3.670366077	0.2123785712
4	-3.270032215	0.2030723567
5	-2.908262373	0.19427955
6	-2.58121366	0.1859731938
7	-2.285316459	0.1781245737
8	-2.015307962	0.170647948
9	-1.777313722	0.1637750358
10	-1.55142776	0.1569736914
11	-1.350774229	0.1506748243
12	-1.165121911	0.1446027029
13	-1.003271975	0.1390929733
14	-0.8582937138	0.1339653281
15	-0.7216946023	0.1289476085
16	-0.5959834901	0.1241507737
17	-0.480054795	0.1195567581
18	-0.3785286183	0.1153833453
19	-0.2849694107	0.111399086
20	-0.2019177451	0.1077389173
21	-0.1243484282	0.1042043123
22	-0.05258034201	0.1008237533
23	0.01123128873	0.09771980478
24	0.07026416185	0.0947578109
25	0.1227982567	0.09204177307
26	0.1728519779	0.08937722181
27	0.2167529069	0.08697303572
28	0.2577224819	0.08466782171
29	0.2941992731	0.08256125459
30	0.3286702749	0.08051988979
31	0.3591563989	0.07867038205
32	0.3879010885	0.07688578215
33	0.4148858076	0.07517190381
34	0.4387938801	0.07362010497
35	0.4614288081	0.07212017848
36	0.4797876617	0.07088030169
37	0.4978012649	0.06964228954
38	0.5147359526	0.06845801327
39	0.5295995671	0.06740142672
40	0.5438594337	0.06637195069
41	0.556209636	0.06546726037
42	0.5690264284	0.06451497787
43	0.5810830232	0.0636061653
44	0.5911432066	0.06283778128
45	0.6000744373	0.06214766491
46	0.6099920999	0.06137223443
47	0.6192130129	0.06064238627
48	0.6261102222	0.06009066759
49	0.6338234119	0.05946761486
50	0.6417741169	0.05881846876
51	0.6481892084	0.05828943043
52	0.6536455269	0.05783565169
53	0.6595414061	0.05734128007
54	0.665345603	0.05685039689
55	0.6701260961	0.0564428862
56	0.6746989613	0.05605030216
57	0.6800632613	0.05558623893
58	0.6844883153	0.05520049307
59	0.6886170572	0.05483813072
60	0.6921872344	0.05452284969
61	0.6962334146	0.05416331449
62	0.6991429885	0.05390329353
63	0.7026026447	0.05359247132
64	0.7054381793	0.05333637075
65	0.7084710716	0.05306107706
66	0.7122089368	0.05271981589
67	0.7158350727	0.05238663109
68	0.7188889594	0.05210437425
69	0.721785776	0.05183521428
70	0.723907004	0.0516372289
71	0.7266343969	0.05138154594
72	0.7292669399	0.05113354224
73	0.7318249946	0.05089139811
74	0.7338086147	0.05070283362
75	0.7352847862	0.0505620512
76	0.7372075107	0.05037809112
77	0.7390541733	0.05020077374
78	0.7407412658	0.05003822912
79	0.7433643606	0.04978445038
80	0.7450656638	0.04961915907
81	0.747440387	0.04938751617
82	0.7495026819	0.04918546408
83	0.7515196744	0.04898704434
84	0.75328667	0.04881255502
85	0.7550055277	0.04864221869
86	0.7568435465	0.04845941124
87	0.7582559476	0.04831846535
88	0.7594389357	0.0482000958
89	0.7613010711	0.0480131797
90	0.7623550496	0.04790706098
91	0.7634466656	0.04779690441
92	0.7650424233	0.04763541579
93	0.7660041512	0.04753782523
94	0.7677578857	0.04735934873
95	0.7692541994	0.04720653631
96	0.770660987	0.0470624143
97	0.7721998434	0.04690425501
98	0.7739235217	0.0467264646
99	0.7755368542	0.04655944081
