iter	Passed	Remaining
0	13	1363
1	21	1068
2	29	963
3	43	1037
4	53	1014
5	72	1137
6	91	1214
7	104	1202
8	120	1217
9	138	1246
10	150	1214
11	156	1150
12	163	1097
13	170	1049
14	180	1025
15	191	1005
16	199	971
17	204	930
18	211	901
19	220	883
20	229	862
21	236	839
22	252	845
23	261	828
24	271	813
25	278	793
26	284	769
27	291	748
28	296	726
29	303	708
30	311	692
31	316	673
32	325	660
33	337	654
34	355	660
35	378	673
36	402	684
37	420	685
38	436	682
39	456	684
40	472	679
41	485	670
42	496	658
43	511	651
44	523	640
45	529	621
46	536	604
47	545	591
48	553	575
49	559	559
50	579	556
51	588	543
52	595	528
53	620	528
54	636	520
55	644	506
56	651	491
57	658	476
58	663	461
59	669	446
60	675	431
61	681	417
62	687	403
63	693	390
64	699	376
65	708	364
66	715	352
67	721	339
68	728	327
69	735	315
70	743	303
71	751	292
72	759	280
73	769	270
74	777	259
75	784	247
76	792	236
77	798	225
78	804	213
79	811	202
80	816	191
81	825	181
82	834	171
83	841	160
84	847	149
85	857	139
86	864	129
87	870	118
88	878	108
89	886	98
90	893	88
91	901	78
92	907	68
93	914	58
94	922	48
95	928	38
96	935	28
97	940	19
98	946	9
99	952	0
