iter	R2	RMSE
0	-5.171828419	0.243628213
1	-4.635185805	0.2327956056
2	-4.148270095	0.2225109149
3	-3.707063342	0.2127627912
4	-3.302221582	0.2034075389
5	-2.937339447	0.1945907029
6	-2.604041061	0.1861724967
7	-2.30939367	0.1784000097
8	-2.032682869	0.1707788784
9	-1.792196326	0.1638678039
10	-1.564054828	0.1570306078
11	-1.362781914	0.1507413765
12	-1.179634316	0.1447813014
13	-1.017348918	0.139287187
14	-0.867384257	0.1340100917
15	-0.7309120413	0.1290203327
16	-0.6052055235	0.1242470198
17	-0.4863345627	0.1195580839
18	-0.3835655231	0.1153507768
19	-0.2880537145	0.111298073
20	-0.2022093308	0.1075253104
21	-0.1245376168	0.1039938488
22	-0.05165331063	0.100567338
23	0.01240227328	0.09745647494
24	0.06979157808	0.09458250051
25	0.123723939	0.09179967243
26	0.1716935049	0.08925163717
27	0.2162151661	0.0868198609
28	0.2562876188	0.0845713306
29	0.2929414985	0.08246094967
30	0.3276692404	0.08041038626
31	0.3582175551	0.07856236966
32	0.3873524771	0.07675841508
33	0.4138853729	0.07507786909
34	0.4388186539	0.0734636109
35	0.4610198439	0.07199578075
36	0.4799306173	0.07072147359
37	0.5001566506	0.06933262077
38	0.5170435971	0.06815137492
39	0.5325054075	0.06705157038
40	0.5472604025	0.06598495092
41	0.5588377873	0.06513580891
42	0.5709199712	0.06423767419
43	0.5826238711	0.0633555202
44	0.5943708515	0.06245759191
45	0.6032906968	0.06176704865
46	0.6130554782	0.06100213135
47	0.6221462041	0.06028129209
48	0.6288358639	0.05974528823
49	0.6375174701	0.05904242655
50	0.6450312799	0.05842728421
51	0.6512959818	0.05790940914
52	0.6575694913	0.0573861228
53	0.6633480539	0.05689986323
54	0.6680889537	0.05649779663
55	0.672683039	0.05610543229
56	0.677041085	0.05573067414
57	0.6820618628	0.0552957777
58	0.6861191777	0.05494182087
59	0.6901825294	0.0545850371
60	0.6943475934	0.05421688573
61	0.698177188	0.05387616674
62	0.7013995696	0.05358779318
63	0.7042973653	0.05332713537
64	0.707097493	0.05307404671
65	0.7097585798	0.05283240162
66	0.7133875584	0.05250107273
67	0.7163965448	0.05222475565
68	0.719204274	0.05196559501
69	0.7212326511	0.05177756354
70	0.7235390074	0.05156293019
71	0.7263761695	0.05129766735
72	0.7282768264	0.05111919392
73	0.7314146946	0.05082317375
74	0.7336853651	0.05060788344
75	0.7359873918	0.05038868117
76	0.7378051643	0.05021491415
77	0.7401872176	0.04998629119
78	0.7418699683	0.04982415308
79	0.7443996189	0.04957941594
80	0.7459540848	0.04942842429
81	0.7480250944	0.04922653909
82	0.7500678682	0.04902659195
83	0.751653492	0.04887082682
84	0.7532740941	0.04871111087
85	0.755061162	0.04853437981
86	0.7561011592	0.04843123301
87	0.7582146998	0.04822093251
88	0.7594310658	0.04809948539
89	0.7611475669	0.04792757911
90	0.7621981974	0.04782205438
91	0.7633257773	0.04770854124
92	0.7647706165	0.04756269373
93	0.7661665329	0.04742135863
94	0.7680138639	0.0472336681
95	0.7695257099	0.04707950639
96	0.7709459128	0.04693422821
97	0.7726304749	0.04676132248
98	0.7739554612	0.04662487359
99	0.7747970646	0.04653799636
